Unnamed: 0,GEN_NAME,PMAX,PMIN,RAMP_10,GEN_FUEL,PRIMEMOVER,Energy_Source_1 (Fuel),RAMP_min,SimGEN_PERCidx,StartUpCost,MinDownTime,MinRunTime
0,59 St.  GT 1,17.1,0.0,17.1,Combustion Turbine,CT,KER,1.7100000000000002,191,2520.42,2.0,3.0
1,74 St.  GT 1,18.5,0.0,18.5,Combustion Turbine,CT,KER,1.85,191,2520.42,2.0,3.0
2,74 St.  GT 2,18.5,0.0,18.5,Combustion Turbine,CT,KER,1.85,191,2520.42,2.0,3.0
3,Allegany,66.0,11.0,66.0,Combined Cycle,CC,NG,6.6,680,6994.0,4.0,6.0
4,Allied Frozen Storage,0.1,0.0,0.1,Internal Combustion,IC,NG,0.01,702,0.0,,
5,Arthur Kill Cogen,11.1,0.0,11.1,Internal Combustion,IC,NG,1.1099999999999999,702,0.0,,
6,Arthur Kill GT 1,20.0,0.0,20.0,Combustion Turbine,CT,NG,2.0,191,2520.42,2.0,3.0
7,Arthur Kill ST 2,349.0,96.0,349.0,Steam Turbine,ST,NG,34.9,236,20000.0,7.0,8.0
8,Arthur Kill ST 3,539.0,1.0,539.0,Steam Turbine,ST,NG,53.9,170,0.0,7.0,8.0
9,Astoria 2,153.0,1.0,153.0,Steam Turbine,ST,NG,15.3,170,0.0,7.0,8.0
10,Astoria 3,756.0,40.0,756.0,Steam Turbine,ST,DFO,75.6,15,9900.0,7.0,8.0
11,Astoria 5,776.0,2.0,776.0,Steam Turbine,ST,DFO,77.6,15,9900.0,7.0,8.0
12,Astoria CC 1,318.0,129.0,318.0,Combined Cycle,CC,NG,31.8,680,6994.0,4.0,6.0
13,Astoria CC 2,320.0,99.0,320.0,Combined Cycle,CC,NG,32.0,680,6994.0,4.0,6.0
14,Astoria East Energy - CC1,313.0,163.0,313.0,Combined Cycle,CC,NG,31.3,473,0.0,4.0,6.0
15,Astoria East Energy - CC2,313.0,166.0,313.0,Combined Cycle,CC,NG,31.3,473,0.0,4.0,6.0
16,Astoria Energy 2 - CC3,313.0,92.0,313.0,Combined Cycle,CC,NG,31.3,680,6994.0,4.0,6.0
17,Astoria Energy 2 - CC4,313.0,87.0,313.0,Combined Cycle,CC,NG,31.3,680,6994.0,4.0,6.0
18,Astoria GT 01,16.0,0.0,16.0,Combustion Turbine,CT,NG,1.6,191,2520.42,2.0,3.0
19,Astoria GT 2-1,44.0,0.0,44.0,Jet Engine,GT,KER,4.4,233,0.0,2.0,3.0
20,Astoria GT 2-2,44.0,0.0,44.0,Jet Engine,GT,KER,4.4,233,0.0,2.0,3.0
21,Astoria GT 2-3,44.0,0.0,44.0,Jet Engine,GT,KER,4.4,233,0.0,2.0,3.0
22,Astoria GT 2-4,40.0,0.0,40.0,Jet Engine,GT,KER,4.0,233,0.0,2.0,3.0
23,Astoria GT 3-1,40.0,0.0,40.0,Jet Engine,GT,KER,4.0,233,0.0,2.0,3.0
24,Astoria GT 3-2,44.0,0.0,44.0,Jet Engine,GT,KER,4.4,233,0.0,2.0,3.0
25,Astoria GT 3-3,40.0,0.0,40.0,Jet Engine,GT,KER,4.0,233,0.0,2.0,3.0
26,Astoria GT 3-4,46.0,0.0,46.0,Jet Engine,GT,KER,4.6,233,0.0,2.0,3.0
27,Astoria GT 4-1,40.0,0.0,40.0,Jet Engine,GT,KER,4.0,233,0.0,2.0,3.0
